"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"EC","GO:1902905","positive regulation of supramolecular fiber organization","19/288","176/18860",0.107954545454545,7.06952335858586,10.0740065380901,2.77637720862233e-11,1.0042156363587e-07,8.19177401659831e-08,"8440/1191/2876/7168/11034/1639/22843/6281/23332/5581/9475/23580/5217/3303/3304/88/171024/4204/85477",19
"EC","GO:1902903","regulation of supramolecular fiber organization","27/288","395/18860",0.0683544303797468,4.47626582278481,8.69487028020165,8.69392438050794e-11,1.57229622421486e-07,1.28258263360862e-07,"11151/22924/81553/120/10391/8440/1191/2876/7168/11034/1639/22843/6281/23332/5581/9475/23580/5217/822/3303/3304/221074/25959/88/171024/4204/85477",27
"EC","GO:0007015","actin filament organization","29/288","469/18860",0.0618336886993603,4.04924780857617,8.32727114851187,1.83712718940482e-10,2.21496301469241e-07,1.80683070593043e-07,"3936/11151/8407/81553/120/10391/1809/7430/8440/1627/7168/10486/11034/10580/22843/6281/7184/23332/5581/9475/23580/408/5217/822/25959/88/29114/171024/85477",29
"EC","GO:0032271","regulation of protein polymerization","19/288","202/18860",0.0940594059405941,6.15958470847085,9.18087604753971,3.04831805078488e-10,2.75644159742223e-07,2.24853565693422e-07,"11151/22924/81553/120/8440/1639/11076/23332/5581/3320/23580/5217/822/3303/3304/221074/25959/4204/85477",19
"EC","GO:0051258","protein polymerization","22/288","291/18860",0.0756013745704467,4.950840015273,8.4580045959726,7.95532336846472e-10,4.52939290906014e-07,3.6948003795223e-07,"11151/22924/81553/120/8440/2244/1639/2243/2266/11076/23332/5581/3320/23580/5217/822/3303/3304/221074/25959/4204/85477",22
"EC","GO:0043254","regulation of protein-containing complex assembly","27/288","438/18860",0.0616438356164384,4.03681506849315,8.00780056757501,8.6348976450469e-10,4.52939290906014e-07,3.6948003795223e-07,"3958/3936/11151/22924/81553/120/9829/8440/1191/1639/6812/11076/23332/1981/5581/4478/3320/23580/9885/5217/822/3303/3304/221074/25959/4204/85477",27
"EC","GO:0051495","positive regulation of cytoskeleton organization","18/288","191/18860",0.0942408376963351,6.17146596858639,8.94532375620732,8.76575901670471e-10,4.52939290906014e-07,3.6948003795223e-07,"120/8440/7168/11034/1639/22843/6281/23332/5581/9475/23580/5217/3303/3304/88/171024/4204/85477",18
"EC","GO:0110053","regulation of actin filament organization","19/288","274/18860",0.0693430656934307,4.54100770478508,7.35250660585169,4.7176175510854e-08,2.13295283528449e-05,1.73993184153847e-05,"11151/81553/120/10391/8440/7168/11034/22843/6281/23332/5581/9475/23580/5217/822/25959/88/171024/85477",19
"EC","GO:0006457","protein folding","17/288","228/18860",0.0745614035087719,4.88273635477583,7.34516953899555,8.59365513843567e-08,3.4536945150802e-05,2.8173117371971e-05,"325/22824/9531/3315/80273/1191/1457/8570/7184/23071/3320/10598/811/3303/3304/3326/11080",17
"EC","GO:0032273","positive regulation of protein polymerization","11/288","91/18860",0.120879120879121,7.91590354090354,8.23522165658027,1.3947928821704e-07,5.04496585481033e-05,4.11537310391961e-05,"8440/1639/11076/23332/5581/3320/23580/5217/3303/3304/4204",11
"EC","GO:0031334","positive regulation of protein-containing complex assembly","16/288","210/18860",0.0761904761904762,4.98941798941799,7.23945724570958,1.54295352442411e-07,5.07351172531092e-05,4.13865907077587e-05,"3958/3936/8440/1191/1639/11076/23332/1981/5581/4478/3320/23580/5217/3303/3304/4204",16
"EC","GO:0051017","actin filament bundle assembly","14/288","169/18860",0.0828402366863905,5.42488494411571,7.19540598130913,3.37132424785175e-07,0.000101617331703998,8.2893174269548e-05,"3936/10391/1809/7430/7168/10580/22843/6281/7184/23332/9475/408/5217/171024",14
"EC","GO:0022411","cellular component disassembly","24/288","483/18860",0.0496894409937888,3.25396825396825,6.24899661301547,4.41216953899242e-07,0.000109208883549465,8.90858957231639e-05,"3936/57326/120/9829/1845/718/3831/51534/11034/1639/1991/84557/8867/91782/5048/1291/23332/3796/714/822/88/51250/85477/3159",24
"EC","GO:0061572","actin filament bundle organization","14/288","173/18860",0.0809248554913295,5.29945407835581,7.07445209522675,4.48833657629727e-07,0.000109208883549465,8.90858957231639e-05,"3936/10391/1809/7430/7168/10580/22843/6281/7184/23332/9475/408/5217/171024",14
"EC","GO:0006520","amino acid metabolic process","18/288","286/18860",0.0629370629370629,4.1215034965035,6.62400052705809,4.52898328239417e-07,0.000109208883549465,8.90858957231639e-05,"2639/5092/4594/4507/2746/16/10056/10247/57470/8565/54938/23475/2875/29968/4204/6507/4357/11112",18
"EC","GO:0045921","positive regulation of exocytosis","10/288","85/18860",0.117647058823529,7.70424836601307,7.71428752023214,6.72755284055123e-07,0.000152084741401711,0.000124061385605691,"302/9146/10015/2244/6281/2243/6812/2266/23332/22895",10
"EC","GO:0050821","protein stabilization","16/288","250/18860",0.064,4.19111111111111,6.32506481954847,1.6003744211282e-06,0.000340503193012982,0.000277761579097359,"9531/7532/1191/1457/7874/8613/6812/3320/5217/811/3303/3304/8575/5300/8774/3326",16
"EC","GO:0006979","response to oxidative stress","21/288","418/18860",0.0502392344497608,3.28997208931419,5.8957703375822,1.99259040710378e-06,0.000400399972360799,0.000326621690708298,"824/3240/9588/6649/2876/7168/5066/318/84557/5798/5052/1291/9555/6648/644/6416/3303/3304/847/9283/8575",21
"EC","GO:1990748","cellular detoxification","11/288","120/18860",0.0916666666666667,6.00289351851852,6.84625901574124,2.31325024952797e-06,0.000440369797502245,0.000359226617696781,"3240/1356/9588/6649/2876/217/5052/6648/128/847/2098",11
"EC","GO:0032956","regulation of actin cytoskeleton organization","19/288","357/18860",0.0532212885154062,3.48525521319639,5.90350946332292,2.6878565700658e-06,0.0004860988606964,0.000396529577152339,"11151/81553/120/10391/8440/7168/11034/22843/6281/23332/5581/9475/23580/5217/822/25959/88/171024/85477",19
"EC","GO:0008064","regulation of actin polymerization or depolymerization","12/288","150/18860",0.08,5.23888888888889,6.49063227911161,3.38883690479037e-06,0.000583686813553656,0.000476135831785835,"11151/81553/120/8440/11034/5581/23580/5217/822/25959/88/85477",12
"EC","GO:0051047","positive regulation of secretion","18/288","331/18860",0.054380664652568,3.56117824773414,5.85401792006137,3.6628677184731e-06,0.000602208751714418,0.00049124489066412,"302/9146/10015/2244/2746/6281/2243/6812/2266/5715/23332/10059/22895/5581/23236/9255/399687/85477",18
"EC","GO:0032970","regulation of actin filament-based process","20/288","402/18860",0.0497512437810945,3.25801547816473,5.69867457253442,4.06622721001094e-06,0.000627648468613528,0.000511997048302233,"11151/6717/81553/120/10391/8440/7168/11034/22843/6281/23332/5581/9475/23580/5217/822/25959/88/171024/85477",20
"EC","GO:0030832","regulation of actin filament length","12/288","153/18860",0.0784313725490196,5.13616557734205,6.3968739766268,4.16465668972205e-06,0.000627648468613528,0.000511997048302233,"11151/81553/120/8440/11034/5581/23580/5217/822/25959/88/85477",12
"EC","GO:0006887","exocytosis","19/288","370/18860",0.0513513513513514,3.3628003003003,5.7159136653947,4.51695667412413e-06,0.000653513291612279,0.000533095981371366,"11151/302/301/9146/10015/8541/2244/6281/2243/6812/8867/2266/23332/22895/9885/5217/1113/85477/91683",19
"EC","GO:0031032","actomyosin structure organization","14/288","215/18860",0.0651162790697674,4.26421188630491,5.99435714370527,5.91860929377707e-06,0.000820636774199941,0.000669425047824581,"23136/10391/10015/7168/10580/22843/6281/23332/9475/408/5217/88/399687/4629",14
"EC","GO:1903532","positive regulation of secretion by cell","17/288","310/18860",0.0548387096774194,3.59117383512545,5.72837810660056,6.12584819004656e-06,0.000820636774199941,0.000669425047824581,"302/9146/10015/2244/2746/6281/2243/6812/2266/5715/23332/10059/22895/5581/23236/9255/399687",17
"EC","GO:0006953","acute-phase response","7/288","47/18860",0.148936170212766,9.75325059101655,7.48196202577297,6.7117197612042e-06,0.000846162873332723,0.000690247670780269,"325/5004/3700/3240/5005/12/5265",7
"EC","GO:0097237","cellular response to toxic substance","11/288","134/18860",0.082089552238806,5.37572553897181,6.33003629229522,6.78427518016283e-06,0.000846162873332723,0.000690247670780269,"3240/1356/9588/6649/2876/217/5052/6648/128/847/2098",11
"EC","GO:0017157","regulation of exocytosis","13/288","189/18860",0.0687830687830688,4.50433568489124,6.02946877455524,7.06098336759904e-06,0.000851319228020191,0.000694453908048425,"302/301/9146/10015/2244/6281/2243/6812/2266/23332/22895/5217/91683",13
"EC","GO:0042743","hydrogen peroxide metabolic process","7/288","49/18860",0.142857142857143,9.35515873015873,7.29244294438776,8.93133106817735e-06,0.00104208466043863,0.000850068624247916,"4129/3240/9588/2876/5052/6648/847",7
"EC","GO:0098754","detoxification","12/288","166/18860",0.072289156626506,4.73393574297189,6.01722153896817,9.63105755964486e-06,0.00108861047478861,0.000888021524331728,"3240/1356/9588/6649/2876/217/5052/5581/6648/128/847/2098",12
"EC","GO:0032535","regulation of cellular component size","18/288","361/18860",0.0498614958448753,3.26523545706371,5.41151743846532,1.20548786594733e-05,0.00132128776094893,0.00107782535510378,"11151/81553/120/7430/8440/11034/5048/1291/5581/4478/3320/23580/5217/822/8301/25959/88/85477",18
