"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"HIP","GO:0042060","wound healing","8/53","453/18860",0.0176600441501104,6.28431005039777,6.04342850957348,3.57632721312971e-05,0.0416603050895402,0.0314748590992857,"79026/960/3315/302/57834/81542/301/135228",8
"HIP","GO:0022604","regulation of cell morphogenesis","6/53","249/18860",0.0240963855421687,8.57467606274153,6.38728634730818,6.80970987412217e-05,0.0416603050895402,0.0314748590992857,"960/4478/6285/301/11151/22924",6
"HIP","GO:0031338","regulation of vesicle fusion","3/53","36/18860",0.0833333333333333,29.6540880503145,9.13522791746234,0.000140121304430022,0.0416603050895402,0.0314748590992857,"302/301/11151",3
"HIP","GO:0007159","leukocyte cell-cell adhesion","7/53","439/18860",0.0159453302961276,5.67413074311256,5.26034244989257,0.000215822758284702,0.0416603050895402,0.0314748590992857,"3383/960/10457/3122/4478/301/11151",7
"HIP","GO:0043277","apoptotic cell clearance","3/53","44/18860",0.0681818181818182,24.26243567753,8.2007840172911,0.000255818648450518,0.0416603050895402,0.0314748590992857,"718/301/721",3
"HIP","GO:0030261","chromosome condensation","3/53","46/18860",0.0652173913043478,23.2075471698113,8.00527843714805,0.000292053474186066,0.0416603050895402,0.0314748590992857,"3020/3021/3005",3
"HIP","GO:0071803","positive regulation of podosome assembly","2/53","10/18860",0.2,71.1698113207547,11.7823558264104,0.00034368907851084,0.0416603050895402,0.0314748590992857,"4478/3936",2
"HIP","GO:2000425","regulation of apoptotic cell clearance","2/53","10/18860",0.2,71.1698113207547,11.7823558264104,0.00034368907851084,0.0416603050895402,0.0314748590992857,"718/721",2
"HIP","GO:0042743","hydrogen peroxide metabolic process","3/53","49/18860",0.0612244897959184,21.7866769349249,7.73418698245406,0.000352363979494914,0.0416603050895402,0.0314748590992857,"4129/3240/9588",3
"HIP","GO:0031509","subtelomeric heterochromatin formation","2/53","11/18860",0.181818181818182,64.6998284734134,11.2183232814837,0.00041930820456536,0.0416603050895402,0.0314748590992857,"3020/3021",2
"HIP","GO:0002455","humoral immune response mediated by circulating immunoglobulin","3/53","52/18860",0.0576923076923077,20.5297532656023,7.48625511943264,0.000420162767042668,0.0416603050895402,0.0314748590992857,"718/721/3263",3
"HIP","GO:0010662","regulation of striated muscle cell apoptotic process","3/53","55/18860",0.0545454545454545,19.409948542024,7.25829730513049,0.000495820871975271,0.0416603050895402,0.0314748590992857,"126393/824/9531",3
"HIP","GO:0160257","complement activation, GZMK pathway","2/53","12/18860",0.166666666666667,59.3081761006289,10.7256827248456,0.000502264179138554,0.0416603050895402,0.0314748590992857,"718/721",2
"HIP","GO:0002285","lymphocyte activation involved in immune response","5/53","235/18860",0.0212765957446809,7.57125652348454,5.38110807246665,0.000507463260777905,0.0416603050895402,0.0314748590992857,"3383/3122/301/11151/3936",5
"HIP","GO:0070486","leukocyte aggregation","2/53","13/18860",0.153846153846154,54.7460087082729,10.2904479859103,0.000592516732814992,0.0416603050895402,0.0314748590992857,"960/4478",2
"HIP","GO:0071801","regulation of podosome assembly","2/53","13/18860",0.153846153846154,54.7460087082729,10.2904479859103,0.000592516732814992,0.0416603050895402,0.0314748590992857,"4478/3936",2
"HIP","GO:0010658","striated muscle cell apoptotic process","3/53","59/18860",0.0508474576271186,18.0940198273105,6.98099355808547,0.000609545910479726,0.0416603050895402,0.0314748590992857,"126393/824/9531",3
"HIP","GO:0061041","regulation of wound healing","4/53","139/18860",0.0287769784172662,10.2402606216913,5.80449714530714,0.000625300533456458,0.0416603050895402,0.0314748590992857,"302/81542/301/135228",4
"HIP","GO:0034728","nucleosome organization","4/53","140/18860",0.0285714285714286,10.167115902965,5.77938093195389,0.00064236192180613,0.0416603050895402,0.0314748590992857,"3020/3021/3005/3159",4
"HIP","GO:0008360","regulation of cell shape","4/53","141/18860",0.0283687943262411,10.0950086979794,5.75451671247462,0.00065975128072697,0.0416603050895402,0.0314748590992857,"4478/6285/301/11151",4
"HIP","GO:0002286","T cell activation involved in immune response","4/53","142/18860",0.028169014084507,10.0239170874302,5.72990009536242,0.000677472160186164,0.0416603050895402,0.0314748590992857,"3383/3122/301/3936",4
"HIP","GO:0060623","regulation of chromosome condensation","2/53","14/18860",0.142857142857143,50.8355795148248,9.90219421546654,0.000690025757176649,0.0416603050895402,0.0314748590992857,"3020/3021",2
"HIP","GO:0098840","protein transport along microtubule","2/53","14/18860",0.142857142857143,50.8355795148248,9.90219421546654,0.000690025757176649,0.0416603050895402,0.0314748590992857,"3315/9531",2
"HIP","GO:0099118","microtubule-based protein transport","2/53","14/18860",0.142857142857143,50.8355795148248,9.90219421546654,0.000690025757176649,0.0416603050895402,0.0314748590992857,"3315/9531",2
"HIP","GO:0002449","lymphocyte mediated immunity","6/53","388/18860",0.0154639175257732,5.50282046294495,4.75752453520015,0.000740253252258492,0.0429050785009022,0.0324153003094245,"3383/718/3122/11151/721/3263",6
"HIP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/53","402/18860",0.0149253731343284,5.31117994931005,4.63825220002499,0.000889914213317427,0.0495956036575751,0.0374700721396811,"3383/718/3122/301/721/3263",6
